Elemento,SÃ­mbolo,Grupo,PerÃ­odo,Ãtomo,Masa,Protones,Neutrones,"Electrones
"
Rutherfordio,Rf,4,7,104,261,104,157,"104
"
Dubnio,Db,5,7,105,262,105,157,"105
"
Seaborgio,Sg,6,7,106,263,106,157,"106
"
Tecnecio,Tc,7,5,43,99,43,56,"43
"
Bohrio,Bh,7,7,107,262,107,155,"107
"
Hassio,Hs,8,7,108,265,108,157,"108
"
Meitnerio,Mt,9,7,109,266,109,157,"109
"
Darmstadtio,Ds,10,7,110,271,110,161,"110
"
Roentgenio,Rg,11,7,111,272,111,161,"111
"
Copernicio,Cn,12,7,112,272,112,160,"112
"
Nihonio,Nh,13,7,113,283,113,170,"113
"
Flerovio,Fl,14,7,114,285,114,171,"114
"
Moscovio,Mc,15,7,115,288,115,173,"115
"
Livermorio,Lv,16,7,116,289,116,173,"116
"
Teneso,Ts,17,7,117,291,117,174,"117
"
OganesÃ³n,Og,18,7,118,293,118,175,"118
"
